Station,isolume_m_at_0.1_Einm-2d-1,isolume_m_at_0.415_Einm2-d1,IceConcentration_percent,MixedLayerDepth_0.1gkg-1-criterion_m,hBD_m,Nitracline_m,AW-ArW_clustering_coefficient,OWD,PAR_irradiance_at_3m_Einm-2d-1
100.0,52.0,39.5,0.0,27.0,28.949983514671942,30.0,NaN,12.0,21.297821209376668
101.0,NaN,NaN,0.0,46.0,40.786689910803446,39.0,0.9152023957095246,12.0,NaN
102.0,42.0,31.0,0.0,46.0,40.80265511855743,39.0,NaN,12.0,19.587099472469617
103.0,NaN,NaN,0.0,61.0,43.24914581217102,55.0,NaN,11.0,NaN
104.0,48.0,37.5,0.0,27.0,32.43190825740716,34.0,NaN,3.0,16.640897636148793
105.0,NaN,NaN,0.0,17.0,27.047627275318998,NaN,NaN,0.0,NaN
106.0,NaN,NaN,95.57999420166016,13.0,17.35247415753182,7.0,0.9700743997044909,-14.0,NaN
107.0,27.5,15.0,100.0,15.0,21.448874678363207,0.0,NaN,-19.0,2.495402111809932
108.0,NaN,NaN,99.80999755859375,23.0,25.856063763552072,NaN,NaN,-22.0,NaN
109.0,NaN,NaN,98.86000061035156,41.0,33.06784518944507,NaN,NaN,-23.0,NaN
110.0,38.5,22.0,100.0,24.0,26.168451376360355,0.0,0.8655466579702983,-25.0,3.050623563648524
111.0,NaN,NaN,93.56999969482422,40.0,29.789268544216448,NaN,NaN,-25.0,NaN
112.0,NaN,NaN,92.4000015258789,30.0,26.547542430800775,0.0,0.14221866623232898,-25.0,NaN
113.0,NaN,NaN,96.75999450683594,7.0,14.448557247682349,NaN,NaN,-30.0,NaN
114.0,NaN,NaN,96.25999450683594,13.0,24.30401806572185,NaN,NaN,-28.0,NaN
115.0,47.5,29.0,93.43999481201172,12.0,23.809588031753552,0.0,0.1502272474645822,-27.0,6.69882826049457
200.0,NaN,NaN,98.0999984741211,24.0,23.795395316939356,0.0,0.9633908527686672,-23.0,NaN
201.0,47.5,30.5,98.62999725341797,24.0,26.25190554708646,1.0,0.935613091923862,-21.0,8.417219485524356
202.0,NaN,NaN,96.48999786376953,6.0,16.057148959330885,NaN,NaN,-20.0,NaN
203.0,NaN,NaN,93.52999877929688,11.0,20.80209251848335,0.0,0.965769276101325,-17.0,NaN
204.0,40.5,24.0,92.66999816894531,9.0,18.334669218086194,7.0,0.9952154418577103,-14.0,15.469690017993104
205.0,NaN,NaN,89.6500015258789,7.0,16.017660130698456,NaN,NaN,-7.0,NaN
206.0,NaN,NaN,67.97999572753906,8.0,16.235325704931114,10.0,NaN,-3.0,NaN
207.0,39.0,25.0,41.029998779296875,7.0,14.485667981311192,20.0,0.9604442425251419,2.0,19.59633845021787
208.0,NaN,NaN,0.0,23.0,27.24728204113489,NaN,NaN,7.0,NaN
209.0,NaN,NaN,0.0,24.0,29.04884247413023,30.0,NaN,10.0,NaN
210.0,NaN,NaN,0.0,28.0,33.22639428967133,NaN,NaN,15.0,NaN
211.0,NaN,NaN,0.0,30.0,34.45945069204152,34.0,NaN,17.0,NaN
300.0,51.0,41.0,0.0,42.0,38.340992531424064,31.0,NaN,26.0,18.825587907685097
301.0,NaN,NaN,0.0,41.0,39.95169232938238,21.0,NaN,24.0,NaN
302.0,NaN,NaN,0.0,29.0,32.56718911322703,25.0,NaN,19.0,NaN
303.0,46.0,37.5,0.0,40.0,38.27653274233744,40.0,NaN,18.0,20.36028569558829
304.0,NaN,NaN,0.0,24.0,29.40486224294332,NaN,NaN,18.0,NaN
305.0,NaN,NaN,0.0,36.0,33.921151790799094,31.0,NaN,15.0,NaN
306.0,NaN,NaN,0.0,23.0,28.140541627847888,NaN,NaN,10.0,NaN
307.0,NaN,NaN,0.0,17.0,22.055058558965225,NaN,NaN,7.0,NaN
308.0,NaN,NaN,0.0,8.0,17.637162689781327,22.0,0.9839014357331298,3.0,NaN
309.0,40.0,27.5,0.0,12.0,19.23129052277696,19.0,0.9425045021579261,2.0,20.20734561528957
310.0,31.0,23.0,81.0999984741211,7.0,17.22740168905635,NaN,NaN,-4.0,6.821950522447139
311.0,NaN,NaN,93.18999481201172,4.0,15.505083360953313,NaN,NaN,-9.0,NaN
312.0,26.5,15.4,100.0,11.0,18.346200116198453,0.0,0.9563634463362602,-10.0,2.1793505844035512
313.0,NaN,NaN,100.0,16.0,23.75115700269453,0.0,0.9154740329865442,-15.0,NaN
314.0,NaN,NaN,100.0,15.0,21.453445784583273,NaN,NaN,-15.0,NaN
315.0,39.5,22.0,97.70999908447266,12.0,18.749778054915556,0.0,0.44819582000369074,-16.0,3.0294507810237956
316.0,NaN,NaN,100.0,9.0,14.691204060758219,NaN,NaN,-15.0,NaN
317.0,NaN,NaN,98.48999786376953,19.0,24.63734820472409,0.0,0.46312992875758896,-16.0,NaN
318.0,45.5,26.5,98.87999725341797,9.0,20.69498253413782,0.0,0.27155568676429503,-15.0,6.772966238219166
319.0,NaN,NaN,95.16999816894531,8.0,20.63250010188468,NaN,NaN,-14.0,NaN
320.0,NaN,NaN,91.75,2.0,25.925262766101113,0.0,0.1239212473965276,-14.0,NaN
321.0,48.5,29.0,98.90999603271484,13.0,22.76867399791921,0.0,NaN,-17.0,4.79764870800732
322.0,NaN,NaN,99.82999420166016,13.0,25.314635537707986,NaN,NaN,-18.0,NaN
323.0,NaN,NaN,100.0,15.0,23.3768463382569,0.0,0.2734896481542445,-24.0,NaN
324.0,36.0,21.5,100.0,10.0,24.627050504250544,0.0,0.006083068901316732,-23.0,3.1880409446362354
325.0,NaN,NaN,89.91999816894531,11.0,23.270914766703434,0.0,0.024698754692417734,-25.0,NaN
400.0,47.5,29.0,99.3699951171875,49.0,32.16947897094956,0.0,NaN,-27.0,5.609424966274477
401.0,NaN,NaN,96.44999694824219,28.0,32.225579639676525,NaN,NaN,-23.0,NaN
402.0,NaN,NaN,88.73999786376953,21.0,30.507494355072527,0.0,0.09417971972740101,-23.0,NaN
403.0,45.5,22.5,85.69999694824219,7.0,25.68619308140689,0.0,0.030304523994284946,-18.0,1.9200023468313545
404.0,NaN,NaN,93.93000030517578,9.0,22.037010704076177,NaN,NaN,-13.0,NaN
405.0,NaN,NaN,100.0,11.0,21.020558195472404,0.0,0.028400512592500902,-13.0,NaN
406.0,52.0,31.0,92.82999420166016,5.0,16.654278805544973,4.0,NaN,-15.0,6.179987421550023
407.0,NaN,NaN,97.29000091552734,5.0,20.59104708613608,NaN,NaN,-17.0,NaN
408.0,NaN,NaN,86.25999450683594,4.0,21.08120425680048,0.0,0.013919446769829669,-18.0,NaN
409.0,43.0,26.5,99.57999420166016,5.0,14.60699399923143,0.0,0.7906266922520689,-17.0,6.487573434222229
410.0,NaN,NaN,96.38999938964844,7.0,15.60879057259179,NaN,NaN,-12.0,NaN
411.0,NaN,NaN,92.72999572753906,10.0,23.05737589649838,0.0,0.9822882173394395,-8.0,NaN
412.0,NaN,NaN,87.63999938964844,13.0,24.28377130927874,0.0,0.9795507494488203,-8.0,NaN
413.0,NaN,NaN,85.5999984741211,8.0,20.682221504913564,7.0,NaN,-6.0,NaN
414.0,NaN,NaN,40.38999938964844,5.0,19.405407474984585,23.0,0.9533790186880615,-3.0,NaN
415.0,NaN,NaN,49.23999786376953,5.0,17.403110007283992,NaN,NaN,5.0,NaN
416.0,NaN,NaN,40.79999923706055,8.0,16.609709227476156,NaN,NaN,13.0,NaN
417.0,NaN,NaN,0.0,6.0,17.905034860399223,20.0,NaN,21.0,NaN
418.0,62.0,44.5,0.0,7.0,17.67051139855352,25.0,NaN,21.0,19.763897216502077
419.0,NaN,NaN,0.0,5.0,17.34763615271666,NaN,NaN,28.0,NaN
420.0,NaN,NaN,0.0,8.0,24.023627063086597,37.0,NaN,29.0,NaN
500.0,56.0,47.5,0.0,19.0,26.89941042802201,36.0,NaN,39.0,22.539673375329883
501.0,NaN,NaN,0.0,20.0,26.993563745371187,NaN,NaN,30.0,NaN
502.0,NaN,NaN,0.0,19.0,26.411879807137517,31.0,NaN,27.0,NaN
503.0,45.0,41.0,0.0,25.0,30.385091317277666,37.0,NaN,26.0,22.017436115571574
504.0,NaN,NaN,0.0,20.0,23.436993790187213,NaN,NaN,23.0,NaN
505.0,NaN,NaN,0.0,8.0,16.994726776850165,23.0,0.9914276746048699,21.0,NaN
506.0,36.5,29.5,0.0,11.0,19.932245444801715,21.0,NaN,17.0,10.846179241321776
506.5,NaN,NaN,0.0,10.0,18.60694675498311,NaN,NaN,10.0,NaN
507.0,31.5,21.0,0.0,8.0,14.978495202909707,14.0,NaN,3.0,14.330519869391338
508.0,NaN,NaN,8.329999923706055,11.0,17.934862445846985,NaN,NaN,2.0,NaN
509.0,NaN,NaN,0.0,2.0,15.514263279838781,14.0,0.9821597523291136,2.0,NaN
510.0,50.0,33.5,0.0,9.0,20.574325372139327,0.0,0.9694689046737955,2.0,16.048235214131402
511.0,NaN,NaN,0.0,3.0,16.350866749803053,NaN,NaN,2.0,NaN
512.0,25.5,20.5,0.0,5.0,11.329521806941553,15.0,0.9848888766447308,2.0,21.898759131224335
513.0,NaN,NaN,20.119998931884766,2.0,14.38893326680742,NaN,NaN,-1.0,NaN
514.0,NaN,NaN,46.189998626708984,6.0,9.459065217144293,4.0,0.9912593547330834,-2.0,NaN
515.0,61.0,38.0,35.880001068115234,6.0,14.173331401002825,1.0,NaN,-2.0,21.498959693794305
516.0,NaN,NaN,64.93000030517578,2.0,17.899387650017825,NaN,NaN,-2.0,NaN
517.0,NaN,NaN,50.40999984741211,7.0,12.648931219594425,2.0,0.9928536876134,-3.0,NaN
518.0,NaN,NaN,48.89999771118164,7.0,15.08339600001086,NaN,NaN,-4.0,NaN
519.0,56.0,34.5,83.6199951171875,4.0,13.719832921747978,0.0,0.17410281668735791,-3.0,4.4933604175473
521.0,NaN,NaN,97.18999481201172,5.0,21.639101382682387,0.0,0.018213615824712075,-9.0,NaN
600.0,41.5,24.5,94.32999420166016,8.0,20.616134056299032,0.0,0.049324173710663,-13.0,6.029855511583705
601.0,NaN,NaN,79.18999481201172,21.0,29.677294495590225,NaN,NaN,-9.0,NaN
602.0,NaN,NaN,73.66999816894531,5.0,18.266728866987933,0.0,0.033951796077789746,-5.0,NaN
603.0,61.0,39.5,49.68000030517578,4.0,15.54491380819041,0.0,NaN,-2.0,14.610233548488981
604.0,NaN,NaN,20.389999389648438,2.0,24.41864889826108,NaN,NaN,-1.0,NaN
604.5,70.0,47.0,0.0,5.0,15.24736592906976,0.0,NaN,2.0,31.472321432923852
605.0,57.0,41.5,28.93000030517578,7.0,17.397756630523315,0.0,0.14905505224653942,-1.0,20.037746160388092
606.0,NaN,NaN,0.0,3.0,19.569044722008393,NaN,NaN,1.0,NaN
607.0,NaN,NaN,0.0,0.0,14.51969578171554,1.0,0.389668670900566,6.0,NaN
608.0,52.0,39.0,0.0,7.0,14.031142634475408,11.0,0.06745719175786236,8.0,32.67718623406489
609.0,NaN,NaN,0.0,4.0,13.3611232086699,7.0,0.1307810183625261,7.0,NaN
610.0,NaN,NaN,0.0,2.0,14.845098763251828,10.0,0.18171640468137884,7.0,NaN
611.0,NaN,NaN,0.0,2.0,10.888454974607413,NaN,NaN,9.0,NaN
612.0,55.0,35.0,0.0,3.0,12.065031046950764,11.0,0.8396503614408818,9.0,22.0209811764626
613.0,NaN,NaN,0.0,3.0,12.062066903173479,12.0,0.9966402781990897,9.0,NaN
614.0,NaN,NaN,0.0,3.0,14.358589504670125,NaN,NaN,11.0,NaN
615.0,32.5,30.0,0.0,11.0,15.804491375159763,21.0,0.9963824352893124,13.0,18.31776118703931
616.0,NaN,NaN,0.0,18.0,23.18899151811386,NaN,NaN,17.0,NaN
617.0,NaN,NaN,0.0,21.0,26.21281321541908,30.0,0.9851084083619036,19.0,NaN
618.0,35.5,32.5,0.0,12.0,17.462219890211383,31.0,NaN,26.0,31.310162949695464
700.0,84.0,60.0,0.0,31.0,31.406700127706333,43.0,NaN,32.0,37.12298369831041
701.0,NaN,NaN,0.0,18.0,26.431278508183524,37.0,0.9933593837132805,29.0,NaN
702.0,NaN,NaN,0.0,28.0,34.15630916686842,NaN,NaN,28.0,NaN
703.0,76.0,53.0,0.0,3.0,18.22277155549457,1.0,0.9926964920717779,20.0,34.59094595520554
704.0,NaN,NaN,0.0,11.0,23.570315288025032,NaN,NaN,16.0,NaN
705.0,NaN,NaN,0.0,17.0,25.942081407855778,0.0,0.9785104552265939,15.0,NaN
707.0,47.5,33.5,0.0,6.0,15.820700175376839,14.0,0.9349842153895053,9.0,25.660454950222142
708.0,NaN,NaN,0.0,3.0,11.519274064629748,4.0,0.975535164354759,7.0,NaN
709.0,NaN,NaN,0.0,2.0,10.130663019700663,NaN,NaN,6.0,NaN
710.0,NaN,NaN,0.0,6.0,11.577492804455993,NaN,NaN,6.0,NaN
711.0,NaN,NaN,0.0,5.0,11.780922839317588,0.0,0.9481352806560696,6.0,NaN
712.0,NaN,NaN,0.0,3.0,12.709633049700251,NaN,NaN,7.0,NaN
713.0,47.0,28.5,0.0,3.0,15.42506705289132,15.0,0.64400849583347,5.0,13.924624517800014
714.0,NaN,NaN,0.0,3.0,11.580022214969752,NaN,NaN,6.0,NaN
715.0,NaN,NaN,0.0,0.0,16.107476126935378,0.0,0.17649315047660513,7.0,NaN
716.0,NaN,NaN,0.0,3.0,14.284549793532472,1.0,0.01710172051196135,3.0,NaN
717.0,NaN,NaN,3.359999895095825,2.0,19.50772852704502,NaN,NaN,2.0,NaN
718.0,NaN,NaN,4.319999694824219,6.0,12.963976333917014,0.0,0.05032493332674019,-1.0,NaN
719.0,44.5,27.5,69.52999877929688,3.0,15.821568130682591,0.0,0.06803439777047217,-5.0,10.6335221416231
